State/UnionTerritory,Confirmed,Cured,Deaths,Recovery_Rate,Mortality_Rate
Maharashtra,6363442,6159676,134201,96.79786505479268,2.108937270112621
Kerala,3586693,3396184,18004,94.68844977811037,0.5019665747807242
Karnataka,2921049,2861499,36848,97.96134881681205,1.2614646313704425
Tamil Nadu,2579130,2524400,34367,97.8779666011407,1.3325035961739036
Andhra Pradesh,1985182,1952736,13564,98.3655906612089,0.6832622903088986
Uttar Pradesh,1708812,1685492,22775,98.63530920897091,1.3327972884085553
West Bengal,1534999,1506532,18252,98.14547110454144,1.1890561492222471
Delhi,1436852,1411280,25068,98.22027599223858,1.744647326238193
Chhattisgarh,1003356,988189,13544,98.4883730201444,1.3498698368276065
Odisha,988997,972710,6565,98.3531800399799,0.6638038335808906
Rajasthan,953851,944700,8954,99.04062584198161,0.9387210371431177
Gujarat,825085,814802,10077,98.75370416381342,1.221328711587291
Madhya Pradesh,791980,781330,10514,98.65526907245132,1.3275587767367862
Madhya Pradesh***,791656,780735,10506,98.620486676031,1.3270915650231918
Haryana,770114,759790,9652,98.65941925481162,1.2533209369002511
Bihar,725279,715352,9646,98.63128533984853,1.3299709491106182
Bihar****,715730,701234,9452,97.97465524709038,1.3206097271317396
Telangana,650353,638410,3831,98.16361268418844,0.5890647079355366
Punjab,599573,582791,16322,97.20100805072944,2.722270682635809
Assam,576149,559684,5420,97.14223230449068,0.9407288739544806
Telengana,443360,362160,2312,81.68531216167449,0.5214723926380368
Jharkhand,347440,342102,5130,98.46361961777573,1.4765139304628137
Uttarakhand,342462,334650,7368,97.71887099882615,2.1514795802161992
Jammu and Kashmir,322771,317081,4392,98.23714026353049,1.3607170408741802
Himachal Pradesh,208616,202761,3537,97.19340798404724,1.695459600414158
Himanchal Pradesh,204516,200040,3507,97.8114181775509,1.7147802616910168
Goa,172085,167978,3164,97.61338873231252,1.8386262602783507
Puducherry,121766,119115,1800,97.82287338008967,1.478245158747105
Manipur,105424,96776,1664,91.79693428441341,1.5783882227955683
Tripura,80660,77811,773,96.46788990825688,0.9583436647656831
Meghalaya,69769,64157,1185,91.95631297567688,1.6984620676804885
Chandigarh,61992,61150,811,98.64176022712608,1.3082333204284424
Arunachal Pradesh,50605,47821,248,94.49856733524355,0.4900701511708329
Mizoram,46320,33722,171,72.80224525043178,0.36917098445595853
Nagaland,28811,26852,585,93.20051369268683,2.030474471556003
Sikkim,28018,25095,356,89.56742094367907,1.2706117495895495
Ladakh,20411,20130,207,98.62329136250061,1.0141590318945666
Dadra and Nagar Haveli and Daman and Diu,10654,10646,4,99.92491083161254,0.03754458419373005
Dadra and Nagar Haveli,10377,10261,4,98.8821432013106,0.03854678616170377
Lakshadweep,10263,10165,51,99.04511351456689,0.4969307220111079
Cases being reassigned to states,9265,0,0,0.0,0.0
Andaman and Nicobar Islands,7548,7412,129,98.1981981981982,1.7090620031796502
Unassigned,77,0,0,0.0,0.0
Daman & Diu,2,0,0,0.0,0.0
